"Step","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX"
"0","-1.4123083651065826","-1.8942292928695679","-0.6463228464126587","-1.4123083651065826","-1.8942292928695679","-0.6463228464126587"
"1","-1.9648292660713196","-2.057424783706665","-1.780173659324646","-2.1354227662086487","-2.2150447368621826","-2.067660093307495"
"2","-2.0430963337421417","-2.1664528846740723","-1.8512014150619507","-2.268107831478119","-2.3872668743133545","-2.147378444671631"
"3","-2.0432731807231903","-2.1664528846740723","-1.7996126413345337","-2.2873987555503845","-2.3585476875305176","-2.216747283935547"
"4","-2.0687632262706757","-2.307319164276123","-1.775133490562439","-2.5114638209342957","-2.6468288898468018","-2.35353684425354"
"5","-2.2590184807777405","-2.4370501041412354","-2.1913442611694336","-2.3840646743774414","-2.6842384338378906","-2.125241994857788"
"6","-2.2073691487312317","-2.239572286605835","-2.1818344593048096","-2.4300392270088196","-2.5292866230010986","-2.3061697483062744"
"7","-2.153446286916733","-2.3918588161468506","-1.8839410543441772","-2.4804933667182922","-2.5484859943389893","-2.336596727371216"
"8","-2.269303560256958","-2.388317108154297","-2.2018556594848633","-2.401793420314789","-2.4507858753204346","-2.2831344604492188"
"9","-2.3147156834602356","-2.4499096870422363","-2.126168966293335","-2.43761545419693","-2.558901071548462","-2.1279258728027344"
"10","-2.324739694595337","-2.5243990421295166","-2.060502767562866","-2.4039535522460938","-2.5242271423339844","-2.251065254211426"
"11","-2.3854697942733765","-2.51283597946167","-2.2680282592773438","-2.356444001197815","-2.4861016273498535","-2.2145581245422363"
"12","-2.269437253475189","-2.540555477142334","-2.104478359222412","-2.4438007473945618","-2.5020527839660645","-2.3672451972961426"
"13","-2.252013087272644","-2.3543508052825928","-2.101475477218628","-2.4744245409965515","-2.4992482662200928","-2.4639804363250732"
"14","-2.304351270198822","-2.395979881286621","-2.189621925354004","-2.530423939228058","-2.678812265396118","-2.3789079189300537"
"15","-2.3414048552513123","-2.3836495876312256","-2.289520740509033","-2.48418790102005","-2.558243989944458","-2.4113609790802"
"16","-2.172724664211273","-2.365149736404419","-1.7386846542358398","-2.436213254928589","-2.5954277515411377","-2.1028921604156494"
"17","-2.2310417890548706","-2.334892749786377","-2.00675892829895","-2.449120283126831","-2.578639268875122","-2.2208261489868164"
"18","-2.302100896835327","-2.4525468349456787","-2.1243045330047607","-2.4642531275749207","-2.6964147090911865","-2.0217947959899902"
"19","-2.353128969669342","-2.4615285396575928","-2.293070077896118","-2.533324897289276","-2.6318109035491943","-2.4710288047790527"
"20","-2.457097589969635","-2.539077043533325","-2.382822275161743","-2.585524797439575","-2.7006454467773438","-2.4462993144989014"
"21","-2.454477310180664","-2.6911919116973877","-2.1767501831054688","-2.4092076420783997","-2.8438258171081543","-2.1146023273468018"
"22","-2.5554504990577698","-2.677396535873413","-2.406916856765747","-2.3067288994789124","-2.4709272384643555","-2.0698559284210205"
"23","-2.5524615049362183","-2.686919689178467","-2.3766427040100098","-2.4610840678215027","-2.7393951416015625","-2.083723306655884"
"24","-2.4678150415420532","-2.6155340671539307","-2.3056726455688477","-2.3362237215042114","-2.571230411529541","-2.082996129989624"
